,code,geom,box
0,S_k_7,"                                            geometry
0  POLYGON ((146.09895 -36.43121, 146.07665 -36.4...","{'lats': [-36.43121117318837, -36.43120908991155, -36.413185688599015, -36.413183606685195], 'lons': [146.09895067792468, 146.07664674503886, 146.07664674503886, 146.09894552350778]}"
1,S_k_8,"                                            geometry
0  POLYGON ((146.14075 -36.42321, 146.11845 -36.4...","{'lats': [-36.42321118544106, -36.42320910276923, -36.405185677254934, -36.40518359594584], 'lons': [146.14074953434422, 146.1184478896353, 146.1184478896353, 146.1407443819599]}"
2,S_k_14,"                                            geometry
0  POLYGON ((145.83336 -36.52871, 145.81103 -36.5...","{'lats': [-36.52871102377333, -36.528708933113194, -36.51068582692596, -36.510683737632185], 'lons': [145.83336465174122, 145.8110327588064, 145.8110327588064, 145.83335947248554]}"
3,S_k_15,"                                            geometry
0  POLYGON ((145.63477 -36.58691, 145.61242 -36.5...","{'lats': [-36.58691093450914, -36.58690883943298, -36.56888590955837, -36.56888381585059], 'lons': [145.63477302521764, 145.61242437788908, 145.6124243778891, 145.63476783107623]}"
4,S_k_19,"                                            geometry
0  POLYGON ((146.09747 -36.56971, 146.07513 -36.5...","{'lats': [-36.569710960895414, -36.569708867125016, -36.551685885133, -36.55168379273039], 'lons': [146.09747054807153, 146.07512685723646, 146.07512685723646, 146.09746535833392]}"
5,S_k_32,"                                            geometry
0  POLYGON ((144.95334 -37.02441, 144.93086 -37.0...","{'lats': [-37.02441026174004, -37.0244081332557, -37.006386532158714, -37.00638440505817], 'lons': [144.95333674824582, 144.930860598211, 144.930860598211, 144.9533314407731]}"
6,S_k_33,"                                            geometry
0  POLYGON ((145.18031 -36.83351, 145.15789 -36.8...","{'lats': [-36.833510555674394, -36.833508441813805, -36.81548626018425, -36.81548414770069], 'lons': [145.18030877337426, 145.1578885979579, 145.1578885979579, 145.18030351566622]}"
7,S_k_34,"                                            geometry
0  POLYGON ((145.23567 -37.26521, 145.21312 -37.2...","{'lats': [-37.26520989016356, -37.265207743129125, -37.24718687588036, -37.24718473023838], 'lons': [145.23567241489087, 145.21312489983615, 145.21312489983615, 145.2356670439408]}"
8,S_k_35,"                                            geometry
0  POLYGON ((144.92725 -37.08241, 144.90475 -37.0...","{'lats': [-37.082410172322504, -37.08240803938076, -37.06438661488293, -37.06438448332704], 'lons': [144.9272453001941, 144.9047520386563, 144.9047520386563, 144.9272399775043]}"
9,S_k_36,"                                            geometry
0  POLYGON ((145.01717 -37.21961, 144.99463 -37.2...","{'lats': [-37.219609960596834, -37.21960781708417, -37.20158681073532, -37.201584668613464], 'lons': [145.01716562804424, 144.99463169272192, 144.99463169272195, 145.0171602691758]}"
10,S_k_38,"                                            geometry
0  POLYGON ((144.93914 -37.06281, 144.91665 -37.0...","{'lats': [-37.06281020254533, -37.06280807111063, -37.04478658692314, -37.044784456873614], 'lons': [144.93914240747677, 144.91665493394657, 144.91665493394657, 144.93913708993443]}"
11,S_k_39,"                                            geometry
0  POLYGON ((145.00567 -37.25771, 144.98313 -37.2...","{'lats': [-37.25770990175016, -37.25770775529524, -37.23968686516399, -37.23968472010125], 'lons': [145.00567129757925, 144.98312601814206, 144.98312601814206, 145.00566592861827]}"
12,S_k_41,"                                            geometry
0  POLYGON ((139.84958 -35.18201, 139.82762 -35.1...","{'lats': [-35.18201307291875, -35.18201108266104, -35.16398392858002, -35.16398193964399], 'lons': [139.84957747633058, 139.82762010043797, 139.82762010043797, 139.8495726296063]}"
13,S_k_43,"                                            geometry
0  POLYGON ((139.09572 -34.72111, 139.07388 -34.7...","{'lats': [-34.721113766557664, -34.72111180990781, -34.70308328542704, -34.70308133008441], 'lons': [139.09571622536166, 139.07388140579656, 139.07388140579656, 139.0957114874452]}"
14,S_k_44,"                                            geometry
0  POLYGON ((139.11872 -34.71921, 139.09688 -34.7...","{'lats': [-34.71921376940852, -34.71921181289645, -34.70118328278315, -34.70118132757822], 'lons': [139.1187159757394, 139.09688165564057, 139.09688165564057, 139.11871123826643]}"
15,S_k_47,"                                            geometry
0  POLYGON ((139.10550 -34.61541, 139.08370 -34.6...","{'lats': [-34.61541392504704, -34.61541197605249, -34.597383138438104, -34.597381190747534], 'lons': [139.10550237404556, 139.08369526941522, 139.08369526941522, 139.1054976607404]}"
16,S_k_48,"                                            geometry
0  POLYGON ((139.12112 -34.74761, 139.09928 -34.7...","{'lats': [-34.747613726788146, -34.74761176821601, -34.72958332230875, -34.729581365044645], 'lons': [139.12111970938048, 139.09927791868353, 139.09927791868355, 139.12111496527396]}"
17,S_k_49,"                                            geometry
0  POLYGON ((139.76440 -35.32451, 139.74240 -35.3...","{'lats': [-35.32451285763859, -35.32451085691419, -35.30648412813798, -35.30648212873981], 'lons': [139.76439669787445, 139.74240086182812, 139.74240086182812, 139.76439181700925]}"
18,S_k_50,"                                            geometry
0  POLYGON ((139.80670 -35.38471, 139.78469 -35.3...","{'lats': [-35.38471276657784, -35.38471076142079, -35.36668421254048, -35.366682208711595], 'lons': [139.80670485889448, 139.78469269356236, 139.78469269356236, 139.80669996353407]}"
19,S_k_56,"                                            geometry
0  POLYGON ((139.86722 -35.49081, 139.84518 -35.4...","{'lats': [-35.490812605923416, -35.490810592938125, -35.472784361436354, -35.47278234978266], 'lons': [139.86721930159328, 139.84517823804083, 139.84517823804083, 139.86721438058044]}"
20,S_k_57,"                                            geometry
0  POLYGON ((139.01025 -34.97191, 138.98835 -34.9...","{'lats': [-34.971913389621726, -34.97191141473024, -34.95388363495973, -34.95388166138328], 'lons': [139.01024938213985, 138.98834821957385, 138.98834821957385, 139.01024458531893]}"
21,S_k_58,"                                            geometry
0  POLYGON ((139.08885 -34.97301, 139.06695 -34.9...","{'lats': [-34.97301338796579, -34.97301141299406, -34.9549836364951, -34.95498166283843], 'lons': [139.08884952847146, 139.06694807311226, 139.06694807311226, 139.08884473139062]}"
22,S_k_62,"                                            geometry
0  POLYGON ((139.21704 -34.88051, 139.19516 -34.8...","{'lats': [-34.88051352713212, -34.88051155890119, -34.8624835074549, -34.862481540536145], 'lons': [139.2170372510623, 139.19516036142366, 139.19516036142366, 139.21703247579146]}"
23,S_k_63,"                                            geometry
0  POLYGON ((139.23495 -34.94121, 139.21305 -34.9...","{'lats': [-34.94121343582764, -34.94121146317498, -34.92318359211698, -34.92318162077838], 'lons': [139.2349453013645, 139.21305230397277, 139.21305230397277, 139.23494051179267]}"
24,S_k_64,"                                            geometry
0  POLYGON ((139.28026 -35.03061, 139.25834 -35.0...","{'lats': [-35.03061330122294, -35.03061132204612, -35.012583716921064, -35.01258173906111], 'lons': [139.28025720205378, 139.25834039271624, 139.25834039271624, 139.28025239134192]}"
