,code,geom,box
0,S_k_1,"                                            geometry
0  POLYGON ((131.12702 -13.08594, 131.10858 -13.0...","{'lats': [-13.085938878464573, -13.085938219729396, -13.06786012735315, -13.067859469559185], 'lons': [131.12702073220194, 131.10857859608646, 131.10857859608646, 131.12701938916152]}"
1,S_k_2,"                                            geometry
0  POLYGON ((131.39206 -14.13964, 131.37354 -14.1...","{'lats': [-14.139638101050135, -14.139637387220494, -14.121560821659969, -14.12156010877958], 'lons': [131.39206160019393, 131.37353766861096, 131.37353766861096, 131.3920601381752]}"
2,S_k_3,"                                            geometry
0  POLYGON ((131.39736 -14.16824, 131.37884 -14.1...","{'lats': [-14.168238079189077, -14.168237363857335, -14.15016084125536, -14.150160126873097], 'lons': [131.397362758014, 131.37883650915856, 131.37883650915856, 131.3973612927302]}"
3,S_k_4,"                                            geometry
0  POLYGON ((132.37991 -15.26784, 132.36129 -15.2...","{'lats': [-15.267837208631624, -15.267836435262302, -15.249761624280655, -15.249760851870006], 'lons': [132.37990924974451, 132.36128995390388, 132.36128995390388, 132.3799076573996]}"
4,S_k_5,"                                            geometry
0  POLYGON ((131.16170 -12.50324, 131.14330 -12.5...","{'lats': [-12.503239284731974, -12.503238656267273, -12.485159766752963, -12.485159139225333], 'lons': [131.16169961143632, 131.14329974922384, 131.14329974922384, 131.16169833314518]}"
5,S_k_6,"                                            geometry
0  POLYGON ((133.36200 -17.19194, 133.34320 -17.1...","{'lats': [-17.191935547246132, -17.19193467086973, -17.1738631303501, -17.173862254950482], 'lons': [133.36200008630303, 133.34319900228357, 133.34319900228357, 133.36199826380837]}"
6,S_k_216,"                                            geometry
0  POLYGON ((142.18048 -14.69134, 142.16191 -14.6...","{'lats': [-14.691337672328546, -14.69133692945767, -14.67326120657952, -14.673260464662395], 'lons': [142.18048439263768, 142.1619148445037, 142.1619148445037, 142.18048286728566]}"
7,S_k_227,"                                            geometry
0  POLYGON ((142.53212 -15.58874, 142.51348 -15.5...","{'lats': [-15.588736943635304, -15.588736153219646, -15.570661863570685, -15.570661074116543], 'lons': [142.53212355154648, 142.51347563327127, 142.51347563327127, 142.53212192153603]}"
8,S_k_228,"                                            geometry
0  POLYGON ((142.48662 -15.59934, 142.46798 -15.5...","{'lats': [-15.599336934798412, -15.59933614381881, -15.581261871557158, -15.581261081539159], 'lons': [142.48662402968375, 142.46797515450965, 142.46797515450965, 142.48662239842443]}"
9,S_k_229,"                                            geometry
0  POLYGON ((142.67402 -15.54924, 142.65538 -15.5...","{'lats': [-15.5492369765183, -15.54923618820366, -15.531161833855991, -15.531161046502508], 'lons': [142.67402177303615, 142.6553774141069, 142.6553774141069, 142.67402014767683]}"
