project,site,geom,longitude,latitude
NATT,S_k_1,POINT (131.11779999914515 -13.07689999946378),131.1178,-13.0769
NATT,S_k_2,POINT (131.3827999990662 -14.130599999443225),131.3828,-14.1306
NATT,S_k_3,POINT (131.38809999906394 -14.159199999440183),131.3881,-14.1592
NATT,S_k_4,POINT (132.37056699906708 -15.258782999753187),132.3706,-15.2588
NATT,S_k_5,POINT (131.1524999991847 -12.494199999482408),131.1525,-12.4942
NATT,S_k_6,POINT (133.35259999889672 -17.182899999634518),133.3526,-17.1829
Environmental Plantings,S_k_7,POINT (146.0878476 -36.4222204),146.0878,-36.4222
Environmental Plantings,S_k_8,POINT (146.1296337 -36.41416643),146.1296,-36.4142
Environmental Plantings,S_k_9,POINT (146.1293915 -36.51869242),146.1294,-36.5187
Environmental Plantings,S_k_10,POINT (145.7628 -36.5212),145.7628,-36.5212
Environmental Plantings,S_k_11,POINT (145.7471 -36.5211),145.7471,-36.5211
Environmental Plantings,S_k_12,POINT (145.7893 -36.4989),145.7893,-36.4989
Environmental Plantings,S_k_13,POINT (145.7697 -36.5214),145.7697,-36.5214
Environmental Plantings,S_k_14,POINT (145.8222 -36.5197),145.8222,-36.5197
Environmental Plantings,S_k_15,POINT (145.6236 -36.5779),145.6236,-36.5779
Environmental Plantings,S_k_16,POINT (145.8095321 -36.48710015),145.8095,-36.4871
Environmental Plantings,S_k_17,POINT (146.1290242 -36.52953456),146.129,-36.5295
Environmental Plantings,S_k_18,POINT (145.7865616 -36.49398124),145.7866,-36.494
Environmental Plantings,S_k_19,POINT (146.0863113 -36.56073055),146.0863,-36.5607
Environmental Plantings,S_k_20,POINT (149.1840937 -33.5833154),149.1841,-33.5833
Environmental Plantings,S_k_21,POINT (149.1755288 -33.57858814),149.1755,-33.5786
Environmental Plantings,S_k_22,POINT (149.1653098 -33.57703617),149.1653,-33.577
Environmental Plantings,S_k_23,POINT (149.1633456 -33.57084878),149.1633,-33.5708
Environmental Plantings,S_k_24,POINT (149.1919789 -33.50398863),149.192,-33.504
Environmental Plantings,S_k_25,POINT (149.2099289 -33.51232593),149.2099,-33.5123
Environmental Plantings,S_k_26,POINT (149.1719711 -33.60039963),149.172,-33.6004
Environmental Plantings,S_k_27,POINT (149.1837398 -33.55387217),149.1837,-33.5539
Environmental Plantings,S_k_28,POINT (148.825652 -34.49551829),148.8257,-34.4955
