,project,site,lat,long,Granule Number
0,SouthWestForests-DON019FireInv,k_1,-34.731,116.2081,2
1,SouthWestForests-DON019FireInv,k_2,-34.7265,116.2081,2
2,SouthWestForests-DON019FireInv,k_3,-34.6949,116.2085,2
3,SouthWestForests-DON019FireInv,k_4,-34.7265,116.2136,1
4,SouthWestForests-DON019FireInv,k_5,-34.7221,116.2136,1
5,SouthWestForests-DON019FireInv,k_6,-34.722,116.219,1
6,SouthWestForests-DON019FireInv,k_7,-34.7356,116.219,2
7,SouthWestForests-DON019FireInv,k_8,-34.7268,116.2193,1
8,SouthWestForests-DON019FireInv,k_9,-34.7176,116.2245,1
9,SouthWestForests-DON019FireInv,k_10,-34.7222,116.2246,1
10,SouthWestForests-DON019FireInv,k_11,-34.7357,116.2354,1
11,SouthWestForests-DON019FireInv,k_12,-34.7267,116.2354,1
12,SouthWestForests-DON019FireInv,k_13,-34.7312,116.2354,1
13,SouthWestForests-DON019FireInv,k_14,-34.7131,116.2355,2
14,SouthWestForests-DON019FireInv,k_15,-34.7086,116.2356,2
15,SouthWestForests-DON019FireInv,k_16,-34.704,116.2357,2
16,SouthWestForests-DON019FireInv,k_17,-34.706,116.2411,2
17,SouthWestForests-DON019FireInv,k_18,-34.7133,116.2414,2
18,SouthWestForests-DON019FireInv,k_19,-34.7177,116.2465,2
19,SouthWestForests-DON019FireInv,k_20,-34.7087,116.2465,1
20,SouthWestForests-DON019FireInv,k_21,-34.7178,116.2519,2
21,SouthWestForests-DON019FireInv,k_22,-34.7133,116.2519,1
22,SouthWestForests-DON019FireInv,k_23,-34.7088,116.252,1
23,SouthWestForests-DON019FireInv,k_24,-34.6791,116.2558,1
24,SouthWestForests-DON019FireInv,k_25,-34.7044,116.2739,1
25,SouthWestForests-DON019FireInv,k_26,-34.7091,116.3121,2
26,SouthWestForests-DON019FireInv,k_27,-34.7091,116.3174,2
27,SouthWestForests-DON019FireInv,k_28,-34.7047,116.3339,2
28,SouthWestForests-DON019FireInv,k_29,-34.6961,116.4431,1
29,SouthWestForests-DON019FireInv,k_30,-34.6963,116.465,1
30,SouthWestForests-DON019FireInv,k_31,-34.6913,116.4703,1
32,SouthWestForests-DON019FireInv,k_32,-34.6964,116.4705,1
37,SouthWestForests-DON019FireInv,k_33,-34.6919,116.476,1
39,SouthWestForests-DON019FireInv,k_34,-34.6874,116.4814,2
40,SouthWestForests-DON019FireInv,k_35,-34.6919,116.4814,1
41,SouthWestForests-DON019FireInv,k_36,-34.6919,116.4868,1
44,SouthWestForests-DON019FireInv,k_37,-34.6965,116.4922,1
46,SouthWestForests-DON019FireInv,k_38,-34.6919,116.4923,1
47,SouthWestForests-DON019FireInv,k_39,-34.6965,116.4978,1
48,SouthWestForests-DON019FireInv,k_40,-34.701,116.5032,1
49,NFSI_RG,k_41,-34.6348,142.4721,3
50,NFSI_RG,k_42,-34.7765,142.6169,3
52,NFSI_RG,k_43,-34.6509,142.9282,1
53,NFSI_RG,k_44,-34.6731,142.9652,2
54,NFSI_RG,k_45,-34.7445,143.2285,4
55,NFSI_RG,k_46,-34.6929,143.2562,3
56,NFSI_RG,k_47,-34.7667,143.2655,3
57,NFSI_RG,k_48,-34.788,143.2773,3
58,NFSI_RG,k_49,-34.7042,143.2811,2
60,NFSI_RG,k_50,-34.8531,143.3508,4
61,NFSI_RG,k_51,-34.8116,143.3653,3
62,NFSI_RG,k_52,-34.8644,143.3757,4
63,NFSI_RG,k_53,-34.8434,143.3766,3
64,NFSI_RG,k_54,-34.7072,143.3826,1
65,NFSI_RG,k_55,-34.6972,143.3957,1
66,NFSI_RG,k_56,-34.8756,143.4007,4
67,NFSI_RG,k_57,-34.8546,143.4016,3
68,NFSI_RG,k_58,-34.8655,143.4138,3
69,NFSI_RG,k_59,-34.6979,143.4211,1
70,NFSI_RG,k_60,-34.8868,143.4256,4
71,NFSI_RG,k_61,-34.6777,143.4473,1
72,NFSI_RG,k_62,-34.9085,143.4502,5
78,NFSI_RG,k_63,-34.3501,143.7395,1
